GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DATE-EFFET
22;"01";"C";"01C031";"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1";0;0;1585,26;0;0;0;"01/03/2018"
23;"01";"C";"01C032";"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2";4;24;3018,09;0;955,22;238,02;"01/03/2018"
24;"01";"C";"01C033";"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3";0;0;7480,64;0;0;0;"01/03/2018"
25;"01";"C";"01C034";"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4";0;0;10754,25;0;0;0;"01/03/2018"
26;"01";"C";"01C041";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1";0;13;2547,53;0;0;83,13;"01/03/2018"
27;"01";"C";"01C042";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2";5;31;4620,66;0;691,04;75,83;"01/03/2018"
28;"01";"C";"01C043";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3";8;47;6518,39;0;316,29;64,96;"01/03/2018"
29;"01";"C";"01C044";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4";18;110;10610,92;0;209,87;226,5;"01/03/2018"
30;"01";"C";"01C051";"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1";0;8;2217,51;0;0;127,66;"01/03/2018"
31;"01";"C";"01C052";"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2";0;12;2971,79;0;0;117,07;"01/03/2018"
32;"01";"C";"01C053";"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3";6;35;5664,32;0;897,51;214,26;"01/03/2018"
33;"01";"C";"01C054";"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4";6;52;9306,65;0;2428,22;281,75;"01/03/2018"
34;"01";"C";"01C061";"Interventions sur le système vasculaire précérébral, niveau 1";0;7;2615,64;0;0;144,7;"01/03/2018"
35;"01";"C";"01C062";"Interventions sur le système vasculaire précérébral, niveau 2";0;11;3368,36;0;0;136,79;"01/03/2018"
36;"01";"C";"01C063";"Interventions sur le système vasculaire précérébral, niveau 3";6;33;6377,78;0;1003,14;148,3;"01/03/2018"
37;"01";"C";"01C064";"Interventions sur le système vasculaire précérébral, niveau 4";7;69;11716,7;0;1779,64;352,83;"01/03/2018"
38;"01";"C";"01C081";"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1";0;4;891,08;0;0;186,5;"01/03/2018"
39;"01";"C";"01C082";"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2";0;11;2196,55;0;0;297,82;"01/03/2018"
40;"01";"C";"01C083";"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3";0;0;4665,15;0;0;0;"01/03/2018"
41;"01";"C";"01C084";"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4";0;0;7267,72;0;0;0;"01/03/2018"
42;"01";"C";"01C08J";"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire";0;0;891,08;0;0;0;"01/03/2018"
43;"01";"C";"01C091";"Pose d'un stimulateur cérébral, niveau 1";0;0;5491,1;0;0;0;"01/03/2018"
44;"01";"C";"01C092";"Pose d'un stimulateur cérébral, niveau 2";0;0;8948,66;0;0;0;"01/03/2018"
45;"01";"C";"01C093";"Pose d'un stimulateur cérébral, niveau 3";0;0;14446,67;0;0;0;"01/03/2018"
46;"01";"C";"01C094";"Pose d'un stimulateur cérébral, niveau 4";0;0;22398,12;0;0;0;"01/03/2018"
47;"01";"C";"01C101";"Pose d'un stimulateur médullaire, niveau 1";0;5;796,75;0;0;261,07;"01/03/2018"
48;"01";"C";"01C102";"Pose d'un stimulateur médullaire, niveau 2";0;0;2137,92;0;0;0;"01/03/2018"
49;"01";"C";"01C103";"Pose d'un stimulateur médullaire, niveau 3";0;0;4118,33;0;0;0;"01/03/2018"
50;"01";"C";"01C104";"Pose d'un stimulateur médullaire, niveau 4";0;0;6415,87;0;0;0;"01/03/2018"
51;"01";"C";"01C111";"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1";0;0;2173,2;0;0;0;"01/03/2018"
52;"01";"C";"01C112";"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 2";0;0;3189,67;0;0;0;"01/03/2018"
53;"01";"C";"01C113";"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 3";0;0;4945,28;0;0;0;"01/03/2018"
54;"01";"C";"01C114";"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 4";0;0;6806,34;0;0;0;"01/03/2018"
55;"01";"C";"01C121";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1";0;0;2488,53;0;0;0;"01/03/2018"
56;"01";"C";"01C122";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2";0;0;4410,35;0;0;0;"01/03/2018"
57;"01";"C";"01C123";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3";0;0;7186,14;0;0;0;"01/03/2018"
58;"01";"C";"01C124";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4";0;0;11141,38;0;0;0;"01/03/2018"
65;"01";"C";"01C041";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1";0;13;9371,17;0;0;83,13;"01/03/2018"
66;"01";"C";"01C042";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2";5;31;11444,3;0;691,04;75,83;"01/03/2018"
67;"01";"C";"01C043";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3";8;47;13342,02;0;316,29;64,96;"01/03/2018"
68;"01";"C";"01C044";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4";18;110;17434,55;0;209,87;372,16;"01/03/2018"
69;"01";"C";"01C121";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1";0;0;9322,87;0;0;0;"01/03/2018"
70;"01";"C";"01C122";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2";0;0;11244,72;0;0;0;"01/03/2018"
71;"01";"C";"01C123";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3";0;0;14020,5;0;0;0;"01/03/2018"
72;"01";"C";"01C124";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4";0;0;17975,74;0;0;0;"01/03/2018"
73;"01";"C";"01C10J";"Pose d'un stimulateur médullaire, en ambulatoire";0;0;796,75;0;0;0;"01/03/2018"
74;"01";"C";"01C141";"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 1";0;3;514,3;0;0;274,89;"01/03/2018"
75;"01";"C";"01C142";"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 2";0;0;1627,43;0;0;0;"01/03/2018"
