GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DATE-EFFET
22;"01";"C";"01C031";"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1";0;11;3448,04;0;0;101,98;"01/03/2018"
23;"01";"C";"01C032";"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2";0;19;6122,44;0;0;84,27;"01/03/2018"
24;"01";"C";"01C033";"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3";0;64;11047,79;0;0;65,39;"01/03/2018"
25;"01";"C";"01C034";"Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4";12;124;14971,28;0;373,67;277,34;"01/03/2018"
26;"01";"C";"01C041";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1";0;12;5402,28;0;0;125,06;"01/03/2018"
27;"01";"C";"01C042";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2";0;20;9008,5;0;0;94,4;"01/03/2018"
28;"01";"C";"01C043";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3";0;43;13006,9;0;0;64,94;"01/03/2018"
29;"01";"C";"01C044";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4";12;105;17032,92;0;383,43;338,38;"01/03/2018"
30;"01";"C";"01C051";"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1";0;10;4620,81;0;0;138,45;"01/03/2018"
31;"01";"C";"01C052";"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2";0;17;7215,09;0;0;114,19;"01/03/2018"
32;"01";"C";"01C053";"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3";7;40;11560,82;0;965,72;75,11;"01/03/2018"
33;"01";"C";"01C054";"Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4";14;84;14865,85;0;244,82;350,66;"01/03/2018"
34;"01";"C";"01C061";"Interventions sur le système vasculaire précérébral, niveau 1";0;8;4725,2;0;0;132,55;"01/03/2018"
35;"01";"C";"01C062";"Interventions sur le système vasculaire précérébral, niveau 2";0;15;6458,88;0;0;118,9;"01/03/2018"
36;"01";"C";"01C063";"Interventions sur le système vasculaire précérébral, niveau 3";0;33;9471,26;0;0;97,62;"01/03/2018"
37;"01";"C";"01C064";"Interventions sur le système vasculaire précérébral, niveau 4";7;74;13473,7;0;1334,15;377,1;"01/03/2018"
38;"01";"C";"01C081";"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1";0;5;2357,66;0;0;93,77;"01/03/2018"
39;"01";"C";"01C082";"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2";0;14;4731,26;0;0;81,44;"01/03/2018"
40;"01";"C";"01C083";"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3";0;60;8868,26;0;0;76,43;"01/03/2018"
41;"01";"C";"01C084";"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4";14;138;14829,69;0;441,59;229,25;"01/03/2018"
42;"01";"C";"01C08J";"Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire";0;0;2357,66;0;0;0;"01/03/2018"
43;"01";"C";"01C091";"Pose d'un stimulateur cérébral, niveau 1";0;17;6722,44;0;0;213,31;"01/03/2018"
44;"01";"C";"01C092";"Pose d'un stimulateur cérébral, niveau 2";6;39;11415,23;0;1042,84;665,5;"01/03/2018"
45;"01";"C";"01C093";"Pose d'un stimulateur cérébral, niveau 3";0;0;17556,28;0;0;0;"01/03/2018"
46;"01";"C";"01C094";"Pose d'un stimulateur cérébral, niveau 4";0;0;22320,18;0;0;0;"01/03/2018"
47;"01";"C";"01C101";"Pose d'un stimulateur médullaire, niveau 1";0;6;1921,07;0;0;498,72;"01/03/2018"
48;"01";"C";"01C102";"Pose d'un stimulateur médullaire, niveau 2";0;10;4077,9;0;0;573,93;"01/03/2018"
49;"01";"C";"01C103";"Pose d'un stimulateur médullaire, niveau 3";0;0;8347,36;0;0;0;"01/03/2018"
50;"01";"C";"01C104";"Pose d'un stimulateur médullaire, niveau 4";0;0;10612,44;0;0;0;"01/03/2018"
51;"01";"C";"01C111";"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1";0;10;6847,14;0;0;131,71;"01/03/2018"
52;"01";"C";"01C112";"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 2";0;13;9337,7;0;0;82,51;"01/03/2018"
53;"01";"C";"01C113";"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 3";7;39;11483,07;0;476,75;92,83;"01/03/2018"
54;"01";"C";"01C114";"Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 4";6;60;13432,49;0;1299,61;482,5;"01/03/2018"
55;"01";"C";"01C121";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1";0;10;4805,32;0;0;92,08;"01/03/2018"
56;"01";"C";"01C122";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2";0;27;7729,81;0;0;64,06;"01/03/2018"
57;"01";"C";"01C123";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3";5;45;8882,89;0;768,72;73,89;"01/03/2018"
58;"01";"C";"01C124";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4";15;92;12355,91;0;231,53;354,6;"01/03/2018"
65;"01";"C";"01C041";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1";0;12;11938,21;0;0;125,06;"01/03/2018"
66;"01";"C";"01C042";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2";0;20;15544,44;0;0;94,4;"01/03/2018"
67;"01";"C";"01C043";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3";0;43;19542,84;0;0;64,94;"01/03/2018"
68;"01";"C";"01C044";"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4";12;105;23568,85;0;383,43;468,22;"01/03/2018"
69;"01";"C";"01C121";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1";0;10;11343,26;0;0;92,08;"01/03/2018"
70;"01";"C";"01C122";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2";0;27;14267,75;0;0;64,06;"01/03/2018"
71;"01";"C";"01C123";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3";5;45;15420,84;0;768,73;73,89;"01/03/2018"
72;"01";"C";"01C124";"Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4";15;92;18893,85;0;231,53;542,24;"01/03/2018"
73;"01";"C";"01C10J";"Pose d'un stimulateur médullaire, en ambulatoire";0;0;1921,07;0;0;0;"01/03/2018"
74;"01";"C";"01C141";"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 1";0;3;873,04;0;0;229,62;"01/03/2018"
75;"01";"C";"01C142";"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 2";0;12;2939,66;0;0;378,3;"01/03/2018"
76;"01";"C";"01C143";"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 3";0;0;3673,81;0;0;0;"01/03/2018"
77;"01";"C";"01C144";"Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 4";0;0;4330,17;0;0;0;"01/03/2018"
78;"01";"C";"01C14J";"Libérations de nerfs superficiels à l'exception du médian au canal carpien, en ambulatoire";0;0;873,04;0;0;0;"01/03/2018"
79;"01";"C";"01C151";"Libérations du médian au canal carpien, niveau 1";0;3;935,85;0;0;198,39;"01/03/2018"
80;"01";"C";"01C152";"Libérations du médian au canal carpien, niveau 2";0;11;2522,94;0;0;335,16;"01/03/2018"
81;"01";"C";"01C153";"Libérations du médian au canal carpien, niveau 3";0;0;3414,56;0;0;0;"01/03/2018"
82;"01";"C";"01C154";"Libérations du médian au canal carpien, niveau 4";0;0;7333,65;0;0;0;"01/03/2018"
83;"01";"C";"01C15J";"Libérations du médian au canal carpien, en ambulatoire";0;0;935,85;0;0;0;"01/03/2018"
84;"05";"C";"05C211";"Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 1";0;3;1731,76;0;0;163,93;"01/03/2018"
85;"05";"C";"05C212";"Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 2";0;16;5273,18;0;0;140,42;"01/03/2018"
86;"05";"C";"05C213";"Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 3";0;42;9667,24;0;0;118,56;"01/03/2018"
87;"05";"C";"05C214";"Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 4";6;76;13698,25;0;2687,34;317,02;"01/03/2018"
