GHT-NRO;GHT-LIB;GHT-PRI;DATE-EFFET
1;"GHT1";55,1;"01/03/2018"
2;"GHT2";71,56;"01/03/2018"
3;"GHT3";88,01;"01/03/2018"
4;"GHT4";104,46;"01/03/2018"
5;"GHT5";120,92;"01/03/2018"
6;"GHT6";137,35;"01/03/2018"
7;"GHT7";153,8;"01/03/2018"
8;"GHT8";170,26;"01/03/2018"
9;"GHT9";186,72;"01/03/2018"
10;"GHT10";203,16;"01/03/2018"
11;"GHT11";219,61;"01/03/2018"
12;"GHT12";236,07;"01/03/2018"
13;"GHT13";252,51;"01/03/2018"
14;"GHT14";268,95;"01/03/2018"
15;"GHT15";285,4;"01/03/2018"
16;"GHT16";301,86;"01/03/2018"
17;"GHT17";318,33;"01/03/2018"
18;"GHT18";334,76;"01/03/2018"
19;"GHT19";351,22;"01/03/2018"
20;"GHT20";367,66;"01/03/2018"
21;"GHT21";384,12;"01/03/2018"
22;"GHT22";400,57;"01/03/2018"
23;"GHT23";417,01;"01/03/2018"
24;"GHT24";433,48;"01/03/2018"
25;"GHT25";449,92;"01/03/2018"
26;"GHT26";466,35;"01/03/2018"
27;"GHT27";482,81;"01/03/2018"
28;"GHT28";499,27;"01/03/2018"
29;"GHT29";515,72;"01/03/2018"
30;"GHT30";532,17;"01/03/2018"
31;"GHT31";548,6;"01/03/2018"
