GHT-NRO;GHT-LIB;GHT-PRI;DATE-EFFET
1;"GHT1";55,62;"01/03/2018"
2;"GHT2";72,02;"01/03/2018"
3;"GHT3";88,7;"01/03/2018"
4;"GHT4";105,16;"01/03/2018"
5;"GHT5";121,71;"01/03/2018"
6;"GHT6";138,15;"01/03/2018"
7;"GHT7";154,69;"01/03/2018"
8;"GHT8";171,18;"01/03/2018"
9;"GHT9";187,71;"01/03/2018"
10;"GHT10";204,28;"01/03/2018"
11;"GHT11";220,71;"01/03/2018"
12;"GHT12";237,26;"01/03/2018"
13;"GHT13";253,74;"01/03/2018"
14;"GHT14";270,27;"01/03/2018"
15;"GHT15";286,79;"01/03/2018"
16;"GHT16";303,24;"01/03/2018"
17;"GHT17";319,8;"01/03/2018"
18;"GHT18";336,28;"01/03/2018"
19;"GHT19";352,81;"01/03/2018"
20;"GHT20";369,33;"01/03/2018"
21;"GHT21";385,76;"01/03/2018"
22;"GHT22";402,38;"01/03/2018"
23;"GHT23";418,78;"01/03/2018"
24;"GHT24";435,48;"01/03/2018"
25;"GHT25";451,84;"01/03/2018"
26;"GHT26";468,49;"01/03/2018"
27;"GHT27";484,82;"01/03/2018"
28;"GHT28";501,25;"01/03/2018"
29;"GHT29";517,8;"01/03/2018"
30;"GHT30";534,33;"01/03/2018"
31;"GHT31";550,79;"01/03/2018"
