"acte";"nb_actes";"nb_sej_0_nuit";"dms"
"AAFA0010";"1092";".";"13.7282913165266"
"AAFA0020";"5259";".";"10.6458293013354"
"AAFA0030";"149";".";"18.2297297297297"
"AAFA0040";"20";".";"11.3684210526315"
"AAFA0050";"38";".";"15.5"
"AAFA0060";"41";".";"43.4146341463414"
"AAFA0070";"360";".";"9.1344537815126"
"AAFA0080";"43";".";"33.5116279069767"
"AAGA9000";"17";".";"7.41176470588235"
"AAGB0010";"674";".";"11.8714859437751"
"AAJA0010";"395";".";"26.3506849315068"
"AAJA0020";"208";".";"36.3478260869565"
"AAJA0030";"152";".";"32.2905405405405"
"AAJA0040";"725";".";"30.2223796033994"
"AAJA0050";"230";".";"31.9864253393665"
"AAJA0060";"180";".";"15.0738636363636"
"AAJH0010";"37";".";"23.5714285714285"
"AAJH0030";"20";".";"24.2222222222222"
"AAKA0010";"1150";"31";"4.19009900990099"
"AALA0020";"42";".";"6.76190476190476"
"AALA0040";"581";".";"13.4007561436672"
"AALA9000";"30";".";"8.39285714285714"
"AALB0010";"843";".";"14.4166666666666"
"AALB0020";"1060";".";"12.1111111111111"
"AALF0020";"36";".";"33.5277777777777"
"AAMP0030";"68";".";"6.43283582089552"
"AAMP1730";"610";"43";"6.15370018975332"
"AAMP3870";"313";"29";"6.20125786163522"
"AANB0010";"55";".";"11.9803921568627"
"AAPA9000";"14";".";"9.64285714285714"
"AAQM0020";"54869";"225";"22.8510171457229"
"AAQN0020";"1062";"321";"13.9714867617107"
"AAQN0040";"308";"130";"5.00651465798045"
"AAQN9000";"29";"18";"1.89655172413793"
"AAQN9010";"216";"43";"7.32227488151658"
"AAQN9020";"428";"140";"13.235294117647"
"AAQN9030";"22";".";"12.590909090909"
"AAQP0020";"853";"18";"6.60545193687231"
"AAQP0030";"7652";"45";"19.5516931375486"
"AAQP0040";"26";".";"11.16"
"AAQP0050";"212";".";"11.9613526570048"
"AAQP0060";"52117";"7066";"11.9385553695288"
"AAQP0070";"118904";"10256";"10.2602890237997"
"AAQP0080";"14";".";"11.2142857142857"
"AAQP0090";"1039";"145";"12.7242888402625"
"AAQP0100";"8097";"922";"3.7815699658703"
"AAQP0110";"86066";"1818";"19.6245048980456"
"AAQP0120";"13028";"50";"6.00559179869524"
"AAQP0130";"1549";".";"12.0045248868778"
"AAQP1290";"2196";"372";"8.94815606627472"
"AAQP3500";"12949";"1338";"8.8048045462373"
"AAQP9000";"169";"71";"17.1428571428571"
"ABCA0010";"222";".";"12.8447488584474"
"ABCA0020";"2936";".";"24.7734764277501"
"ABCA0030";"210";".";"19.4921465968586"
"ABCA0040";"58";".";"37.0701754385965"
"ABCB0010";"8801";"57";"34.875"
"ABCC0010";"951";".";"13.8847385272145"
"ABFA0010";"35";".";"8.42857142857143"
"ABFA0020";"146";".";"14.9097222222222"
"ABFA0030";"32";".";"8.63333333333333"
"ABFA0050";"170";".";"12.2662721893491"
"ABFA0060";"207";".";"18.8358208955223"
"ABFA0070";"11";".";"5.9"
"ABFA0080";"71";".";"20.0285714285714"
"ABFA0090";"81";".";"15.0375"
"ABFA0100";"329";".";"12.0766871165644"
"ABFC0010";"77";".";"9.76315789473684"
"ABGA0010";"886";".";"35.6131191432396"
"ABGA0020";"519";"20";"23.5252100840336"
"ABGA0030";"44";".";"16.5681818181818"
"ABHB0010";"190";".";"30.7878787878787"
"ABHB0020";"44";".";"16.5277777777777"
"ABJA0010";"19";".";"40.578947368421"
"ABJA0020";"1343";"17";"23.91968503937"
"ABJA0030";"3514";".";"10.296350794585"
"ABJA0040";"35";".";"22.9411764705882"
"ABJA0050";"651";"11";"19.2338072669826"
"ABJA0060";"804";".";"9.59315589353612"
"ABJA0070";"26";".";"37.0434782608695"
"ABJA0080";"295";".";"28.0817843866171"
"ABJB0010";"15";".";"8.58333333333333"
"ABJB0020";"31";".";"17.4285714285714"
"ABLA0010";"149";".";"11.281690140845"
"ABLB0010";"204";".";"31.5384615384615"
"ABLB0020";"498";".";"29.2268907563025"
"ABLB0030";"2940";"20";"31.8194260485651"
"ABLB0060";"89";"25";"4.22388059701492"
"ABMA0020";"523";".";"21.0333333333333"
"ABMA0030";"617";".";"19.3631484794275"
"ABMP0010";"66";"12";"22.1851851851851"
"ABQL0020";"13";".";"7.07692307692307"
"ABQL0030";"14";".";"5.07692307692307"
"ABQP0010";"45500";"33";"32.0827484299963"
"ABSA0010";"29";".";"10.6551724137931"
"ABSA0020";"32";".";"11"
"ABSA0030";"33";".";"15.4848484848484"
"ABSA0040";"197";"17";"4.25520833333333"
"ABSA0060";"79";".";"6.75641025641025"
"ABSA0070";"137";".";"26.5746268656716"
"ABSA0080";"122";".";"15.2307692307692"
"ABSA0090";"98";".";"27.5760869565217"
"ABSA0100";"17";".";"10.3529411764705"
"ABSA0110";"133";".";"11.976923076923"
"ABSA0120";"279";".";"13.8659003831417"
"ACFA0010";"441";".";"12.9380733944954"
"ACFA0020";"1019";".";"9.87648221343873"
"ACFA0040";"69";".";"30.75"
"ACFA0050";"64";".";"19.8064516129032"
"ACFA0060";"23";".";"5.09090909090909"
"ACFA0070";"381";".";"11.187675070028"
"ACFA0080";"69";".";"8.63235294117647"
"ACFA0090";"23";".";"8.04347826086956"
"ACFA0100";"528";".";"12.9029126213592"
"ACFA0110";"371";".";"11.460704607046"
"ACFA0120";"27";".";"8.88888888888889"
"ACFA0130";"385";".";"11.7513089005235"
"ACFA0140";"12";".";"11.4166666666666"
"ACFA0150";"127";".";"11.8346456692913"
"ACFA0160";"45";".";"19.4"
"ACFA0180";"94";".";"12.0888888888888"
"ACFA0190";"18";".";"19.8333333333333"
"ACFA0200";"90";".";"13.4827586206896"
"ACFA0220";"426";".";"12.9054373522458"
"ACFA0230";"16";".";"23.5"
"ACFA0240";"45";".";"15.8888888888888"
"ACFA0260";"68";".";"13.2985074626865"
"ACFA0280";"464";".";"10.8235294117647"
"ACHA0010";"46";".";"5.95652173913043"
"ACHA0020";"651";".";"13.51875"
"ACHA0030";"53";".";"9.66037735849056"
"ACHB0010";"2641";".";"11.313387034906"
"ACHH0010";"24";".";"24.25"
"ACHJ0010";"56";".";"10.2830188679245"
"ACPA0010";"367";".";"7.28767123287671"
"ACQC0010";"113";".";"10.3272727272727"
"ACQH0010";"2544";"192";"12.3210823909531"
"ACQH0020";"14137";"1824";"13.3531438415159"
"ACQH0030";"115736";"10503";"12.140626125153"
"ACQH0040";"17855";"2490";"11.6189821182943"
"ACQJ0010";"13014";"1433";"9.51250098588216"
"ACQJ0020";"128220";"22691";"10.9930481283422"
"ACQK0010";"794269";"70731";"9.1396061869481"
"ACQK0030";"3254";"130";"6.07491233662735"
"ACQL0010";"1449";"349";"8.49029126213592"
"ACQL0020";"1579";"320";"7.64830237027546"
"ACQL0030";"21";".";"19.2380952380952"
"ACQL0040";"80";".";"6.38461538461538"
"ACQL0070";"784";"305";"7.78080415045395"
"ACQL0080";"18";".";"25.6470588235294"
"ACQN0010";"158216";"27036";"9.87539607097592"
"ACQN0020";"973";"132";"5.42901878914405"
"ACQN0030";"3010";"55";"5.77551712444896"
"ACQN0040";"15639";"1827";"10.9723081059282"
"ACQP0020";"10890";"63";"11.125236652783"
"ADCA0020";"39";".";"2.89189189189189"
"ADCA0040";"59";"27";"2.5438596491228"
"ADCA0050";"91";".";"9.96875"
"ADGA0010";"58";".";"4.79310344827586"
"ADKA0010";"183";"37";"2.04395604395604"
"ADLA0010";"323";"14";"2.87616099071207"
"ADLB0010";"164";"92";"1.15107913669064"
"ADLH0020";"31";"29";"0.03333333333333"
"ADLH0030";"26";".";"21.4444444444444"
"ADNB0010";"11";".";"1.36363636363636"
"ADNH0020";"631";"26";"2.87237762237762"
"ADPA0010";"31";".";"10.9032258064516"
"ADPA0040";"1012";"923";"0.15584415584415"
"ADPA0080";"47";".";"6.85106382978723"
"ADPA0100";"28";".";"6.78571428571428"
